SP500,Long_Treasuries,Real_Estate,Gold,Crude_Oil
0.013302786455341886,0.010042007502452543,-0.003524264736485372,0.016064235102346336,-0.008982126887789654
0.0010258440389536716,0.0038234245442614334,0.0,-0.004671174451993942,0.008459293259879042
-0.007991913565562836,-0.0009512077769296967,0.0017682927879489885,-0.004332174032603775,0.012582329404012382
-0.011360907750901372,-0.004766177481407841,0.0035302712575642214,-0.005801217029561823,0.03402371455138886
0.008566216922079928,-0.0009581932458143649,0.008795451655926323,-0.0007294390887198077,0.010872705574249464
-0.006836682882086054,0.0019163859270436845,0.013949148397279565,-0.0025547890767564363,-0.046136455806307985
-0.0014596592937675679,-0.0038263267326644756,0.007738721607995824,-0.0007317295952630198,0.04154295784827533
-0.007311865450589816,-0.0009610181952524055,0.003412865519593966,-0.0007323771606048135,-0.02564096154719786
0.00263070797648135,0.0028847470130279884,-0.0017011808947888785,-0.0003664569650139171,-0.011695950788175535
0.005037068720165072,-0.006712074030177928,-0.0025548753048147965,-0.0014662533518438048,0.008875717273141515
-0.021878072386853797,-0.007721683405618851,-0.005123462647561139,-0.00036712960997209443,0.051319650390251326
-0.009203748229636655,-0.0038910145416778397,-0.018883889630494588,-0.0033051558458704333,0.028730896452831445
0.00907333112489317,0.0019530422617577425,0.01224794856199618,0.0018422992308197994,-0.010303716299069343
-0.00738621828950925,-0.0038987928971627728,-0.0034567611617607463,-0.010665663705709538,0.027397260273972712
-0.01520545762903125,0.003914052979116844,-0.004336942900156737,0.00483266837534857,-0.09466664632161459
0.018178153895461957,0.001949364223424066,0.009867510759138831,0.005549389817763872,-0.03829158196896576
-0.007098529237503315,0.0009731074224914593,-0.007041833451722934,0.008462172236368248,-0.033078155607394466
-0.01278140965875596,0.003887488897065916,0.004431643938741736,-0.0007297052264775283,-0.0022172852550168543
0.005266569813897615,-0.0038724348495835503,0.008826709335202354,0.0164293541448588,0.0
0.012879312615134086,0.000971261731580908,0.006124121238840985,-0.010057427637767291,-0.03809526231553817
-0.00948278785373391,0.006927697152523171,-0.004347696789212208,-0.007256893888633598,0.018481893973319563
0.0015231633919812193,-0.004845059596190415,-0.018341036007672673,-0.0018274853393490664,0.041801713869527024
-0.009341545254660133,-0.0019469212177957163,-0.00533763812520216,-0.005492493469338999,-0.0024883927607372014
0.008333226471137989,-0.0009756805257723489,-0.008049706645085974,-0.0047865179725047335,-0.017773610859005085
0.0034795710325126183,0.004882781501294842,0.004507999531550677,0.0011099457051277906,-0.026984139094276993
-0.02167299391110422,0.0048595034029503825,0.0,-0.004804206508589481,0.00652531045444249
-0.007532237492391625,0.0,-0.0017953502093064344,0.002970732814001842,0.03338731820293761
-0.016517712656512473,0.0019334211538279966,-0.00089925388319545,0.008515319292837331,0.039836963567905004
-0.00839791414675839,0.000964432295836648,-0.006300729228067459,-0.006975014460559814,0.0
